ID,CODE,NAME,ALTNAME,ADDRESS,TEL1,MOBILE_NO,WEBSITE,EMAIL,FAX,OPEN_TIME,ADMIN_ID,PARENT_ID,BRANCH,LOCATE,REL_TYPE,X,Y
3207,23,G-Strip Parking Area,,"C. Aguinaldo Street, Brgy. Marilag, Quezon City, Metro Manila",,,,,,,133915021,3268,,Greenhills Shopping Center,2,121.0496068,14.60035032
38826,44,Yellow Cab,Yellow Cab Pizza Co.,"C. Arellano Road, Concepcion, 1470 Malabon City, Metro Manila",02-7899999,,www.yellowcabpizza.com,,,MON-THU 0900-2400; FRI-SAT 0900-0100; SUN 0900-2400,133915021,549923,Greenhills,Connecticut Carpark Arcade,1,121.050667,14.60095309
3244,23,Connecticut Arcade-Parking,,"C. Arellano Road, San Agustin, 1470 Malabon City, Metro Manila",,,,,,,133915021,549923,,Connecticut Carpark Arcade,1,121.0510188,14.60109012
285137,147,Beijing Foot Spa,,"C. Arellano Road, San Agustin, 1470 Malabon City, Metro Manila",02-6953002,,www.sinobeijingspa.wordpress.com,,,,133915021,549923,Greenhills-Conneticut Arcade,Connecticut Carpark Arcade,1,121.0509523,14.6009119
38827,44,Italiannis Restaurant,,"C. Arellano Street, Katarungan Village, Brgy. Poblacion, Muntinlupa City, Metro Manila",,,www.italiannis.com.ph,,,,133915021,549923,Greenhills- Connecticut Arcade,Connecticut Carpark Arcade,1,121.0508751,14.60119915
285135,44,Omakase,,"C. Bautista Street, Brgy. Concepcion Uno, Marikina City, Metro Manila",,,,,,1100-2200,133915021,549923,Greenhills-Connecticut Arcade,Connecticut Carpark Arcade,1,121.0502895,14.60047462
3307,23,Annapolis Arcade Car Park,,"C. Benitez Street, Brgy. Malanday, Marikina City, Metro Manila",,,,,,,133915021,3268,,Greenhills Shopping Center,2,121.049998,14.602704
285447,44,The Sizzlin Pepper Steak,,"C. Buenviaje Street, Brgy. 594, Manila, Metro Manila",02-7210973,,www.pancakehouse.com.ph,,,,133915021,3332,Promenade,Promenade,1,121.051771,14.60357646
294127,49,EastWest Bank,East West Banking Corporation,"C. Dalandan Street, Brgy. Pamplona Uno, Las Pinas City, Metro Manila",,,www.eastwestbanker.com,,,,133915021,3332,Greenhills Promenade,Promenade,1,121.052078,14.60333412
285105,204,Life Cycle Bicycle Shop,,"C. De Leon Circle, Brgy. San Isidro, Paranaque City, Metro Manila",02-5842442,,,,,,133915021,549943,Greenhills,Greenhills G-strip,1,121.0497815,14.59992099
285108,37,Bacolod Chicken Inasal,,"C. Francisco Street, Brgy. Kasilawan, Makati City, Metro Manila",02-7210855,,www.bacolodchickeninasal.com,,,MON-THU 1030-2330; FRI-SAT 1030-2400; SUN 1030-2330,133915021,549943,Greenhills G-strip,Greenhills G-strip,1,121.0500384,14.60010695
285100,167,Musica,,"C. La Torre Street cor. Masangkay Street, Brgy. 262, Manila, Metro Manila",02-7249798,,,,,,133915021,549943,,Greenhills G-strip,1,121.0495111,14.60011593
285553,167,Chivz,,"C. La Torre Street, Brgy. 266, Manila, Metro Manila",02-7268449,,,,,MON-SAT 1800-0400,133915021,549943,,Greenhills G-strip,1,121.0493584,14.60022373
285106,344,Bingo Boutique,,"C. Mastrili Street, Brgy. Bambang, Taguig City, Metro Manila",02-7273141,,www.bingo.com,,,,133915021,549943,Greenhills G-Strip,Greenhills G-strip,1,121.0498839,14.59996142
285103,44,Oyster Boy,,"C. P. Tinga Street, Brgy. Hagonoy, Taguig City, Metro Manila",,,,,,,133915021,549943,Greenhills G-Strip,Greenhills G-strip,1,121.04968,14.60008
3332,194,Promenade,,"C. Raymundo Avenue, Brgy. Maybunga, Pasig City, Metro Manila",,,,,,,133915021,3268,,Greenhills Shopping Center,2,121.0515149,14.60337729
287315,194,Greenlanes Arcade,,"C. Raymundo Avenue, Brgy. Maybunga, Pasig City, Metro Manila",,,,,,,133915021,3268,,Greenhills Shopping Center,1,121.0498413,14.6008001
3268,194,Greenhills Shopping Center,,"C. Raymundo Avenue, Brgy. Rosario, Pasig City, Metro Manila",02-7210572,,,,,,133915021,0,,,0,121.049321,14.601582
287305,194,Bridgeway Shops,,"C. Santos Street, Brgy. Tambo, Paranaque City, Metro Manila",,,,,,,133915021,3268,,Greenhills Shopping Center,1,121.0503777,14.60124653
